user_id,date,steps,distance_km
1,1/1/2020,17159,13.08
1,1/2/2020,15792,12.04
1,1/3/2020,14956,11.4
1,1/4/2020,13972,10.65
1,1/5/2020,14214,10.83
1,1/6/2020,4379,3.34
1,1/7/2020,6738,5.14
1,1/8/2020,1481,1.13
1,1/9/2020,11352,8.65
1,1/10/2020,3910,2.98
1,1/11/2020,10592,8.07
1,1/12/2020,8325,6.35
1,1/13/2020,1389,1.06
1,1/14/2020,2091,1.59
1,1/15/2020,12739,9.71
1,1/16/2020,13378,10.2
1,1/17/2020,17788,13.56
1,1/18/2020,1755,1.34
1,1/19/2020,1019,0.78
1,1/20/2020,2790,2.13
1,1/21/2020,16494,12.57
1,1/22/2020,2309,1.76
1,1/23/2020,19021,14.5
1,1/24/2020,10198,7.77
1,1/25/2020,14502,11.05
1,1/26/2020,9627,7.34
1,1/27/2020,17372,13.24
1,1/28/2020,5979,4.56
1,1/29/2020,1556,1.19
1,1/30/2020,3801,2.9
1,1/31/2020,11468,8.74
1,2/1/2020,16378,12.48
1,2/2/2020,3005,2.29
1,2/3/2020,17797,13.56
1,2/4/2020,11737,8.95
1,2/5/2020,2698,2.06
1,2/6/2020,9404,7.17
1,2/7/2020,3607,2.75
1,2/8/2020,7230,5.51
1,2/9/2020,18195,13.87
1,2/10/2020,5580,4.25
1,2/11/2020,8368,6.38
1,2/12/2020,14308,10.91
1,2/13/2020,7153,5.45
1,2/14/2020,19348,14.75
1,2/15/2020,5707,4.35
1,2/16/2020,10492,8
1,2/17/2020,14504,11.05
1,2/18/2020,12422,9.47
1,2/19/2020,13329,10.16
1,2/20/2020,13590,10.36
1,2/21/2020,15938,12.15
1,2/22/2020,19106,14.56
1,2/23/2020,17874,13.62
1,2/24/2020,5845,4.46
1,2/25/2020,17098,13.03
1,2/26/2020,11497,8.76
1,2/27/2020,9899,7.54
1,2/28/2020,16634,12.68
1,2/29/2020,6899,5.26
1,3/1/2020,7285,5.55
1,3/2/2020,1141,0.87
1,3/3/2020,13305,10.14
1,3/4/2020,7442,5.67
1,3/5/2020,7648,5.83
1,3/6/2020,15371,11.72
1,3/7/2020,17957,13.69
1,3/8/2020,14505,11.06
1,3/9/2020,9814,7.48
1,3/10/2020,5161,3.93
1,3/11/2020,13623,10.38
1,3/12/2020,6469,4.93
1,3/13/2020,12092,9.22
1,3/14/2020,3262,2.49
1,3/15/2020,18582,14.16
1,3/16/2020,19032,14.51
1,3/17/2020,5740,4.38
1,3/18/2020,7097,5.41
1,3/19/2020,1231,0.94
1,3/20/2020,14734,11.23
1,3/21/2020,13930,10.62
1,3/22/2020,8115,6.19
1,3/23/2020,6904,5.26
1,3/24/2020,7770,5.92
1,3/25/2020,7377,5.62
1,3/26/2020,16967,12.93
1,3/27/2020,6522,4.97
1,3/28/2020,13869,10.57
1,3/29/2020,16470,12.55
1,3/30/2020,14030,10.69
1,3/31/2020,1187,0.9
1,4/1/2020,8275,6.31
1,4/2/2020,15868,12.09
1,4/3/2020,4746,3.62
1,4/4/2020,1389,1.06
1,4/5/2020,9171,6.99
1,4/6/2020,2006,1.53
1,4/7/2020,19170,14.61
1,4/8/2020,15837,12.07
1,4/9/2020,13371,10.19
1,4/10/2020,9357,7.13
1,4/11/2020,13546,10.32
1,4/12/2020,10688,8.15
1,4/13/2020,9416,7.18
1,4/14/2020,4294,3.27
1,4/15/2020,6084,4.64
1,4/16/2020,10912,8.32
1,4/17/2020,11421,8.71
1,4/18/2020,2606,1.99
1,4/19/2020,10704,8.16
1,4/20/2020,11845,9.03
1,4/21/2020,5155,3.93
1,4/22/2020,2975,2.27
1,4/23/2020,3723,2.84
1,4/24/2020,17625,13.43
1,4/25/2020,11932,9.09
1,4/26/2020,9227,7.03
1,4/27/2020,15879,12.1
1,4/28/2020,6727,5.13
1,4/29/2020,9194,7.01
1,4/30/2020,18676,14.23
1,5/1/2020,18232,13.9
1,5/2/2020,2516,1.92
1,5/3/2020,11695,8.91
1,5/4/2020,19563,14.91
1,5/5/2020,19965,15.22
1,5/6/2020,11502,8.77
1,5/7/2020,10591,8.07
1,5/8/2020,15208,11.59
1,5/9/2020,3484,2.66
1,5/10/2020,5735,4.37
1,5/11/2020,16075,12.25
1,5/12/2020,13191,10.05
1,5/13/2020,6403,4.88
1,5/14/2020,13799,10.52
1,5/15/2020,9195,7.01
1,5/16/2020,11145,8.49
1,5/17/2020,10040,7.65
1,5/18/2020,16674,12.71
1,5/19/2020,16993,12.95
1,5/20/2020,7449,5.68
1,5/21/2020,12780,9.74
1,5/22/2020,8792,6.7
1,5/23/2020,19140,14.59
1,5/24/2020,10097,7.7
1,5/25/2020,17641,13.45
1,5/26/2020,9749,7.43
1,5/27/2020,2514,1.92
1,5/28/2020,2293,1.75
1,5/29/2020,18479,14.08
1,5/30/2020,6123,4.67
1,5/31/2020,9882,7.53
1,6/1/2020,6617,5.04
1,6/2/2020,11177,8.52
1,6/3/2020,17974,13.7
1,6/4/2020,10765,8.21
1,6/5/2020,16288,12.41
1,6/6/2020,15996,12.19
1,6/7/2020,11328,8.63
1,6/8/2020,7582,5.78
1,6/9/2020,1009,0.77
1,6/10/2020,6854,5.22
