user_id,date,steps,distance_km,active_minutes
1,1/1/2020,17159,13.08,126
1,1/2/2020,15792,12.04,34
1,1/3/2020,14956,11.4,144
1,1/4/2020,13972,10.65,61
1,1/5/2020,14214,10.83,92
1,1/6/2020,4379,3.34,148
1,1/7/2020,6738,5.14,44
1,1/8/2020,1481,1.13,146
1,1/9/2020,11352,8.65,91
1,1/10/2020,3910,2.98,25
1,1/11/2020,10592,8.07,146
1,1/12/2020,8325,6.35,138
1,1/13/2020,1389,1.06,162
1,1/14/2020,2091,1.59,177
1,1/15/2020,12739,9.71,174
1,1/16/2020,13378,10.2,134
1,1/17/2020,17788,13.56,26
1,1/18/2020,1755,1.34,57
1,1/19/2020,1019,0.78,62
1,1/20/2020,2790,2.13,97
1,1/21/2020,16494,12.57,156
1,1/22/2020,2309,1.76,36
1,1/23/2020,19021,14.5,36
1,1/24/2020,10198,7.77,151
1,1/25/2020,14502,11.05,160
1,1/26/2020,9627,7.34,151
1,1/27/2020,17372,13.24,159
1,1/28/2020,5979,4.56,21
1,1/29/2020,1556,1.19,70
1,1/30/2020,3801,2.9,174
1,1/31/2020,11468,8.74,51
1,2/1/2020,16378,12.48,65
1,2/2/2020,3005,2.29,98
1,2/3/2020,17797,13.56,70
1,2/4/2020,11737,8.95,64
1,2/5/2020,2698,2.06,71
1,2/6/2020,9404,7.17,120
1,2/7/2020,3607,2.75,113
1,2/8/2020,7230,5.51,136
1,2/9/2020,18195,13.87,31
1,2/10/2020,5580,4.25,34
1,2/11/2020,8368,6.38,130
1,2/12/2020,14308,10.91,68
1,2/13/2020,7153,5.45,112
1,2/14/2020,19348,14.75,54
1,2/15/2020,5707,4.35,154
1,2/16/2020,10492,8,146
1,2/17/2020,14504,11.05,89
1,2/18/2020,12422,9.47,101
1,2/19/2020,13329,10.16,67
1,2/20/2020,13590,10.36,114
1,2/21/2020,15938,12.15,38
1,2/22/2020,19106,14.56,68
1,2/23/2020,17874,13.62,104
1,2/24/2020,5845,4.46,151
1,2/25/2020,17098,13.03,37
1,2/26/2020,11497,8.76,120
1,2/27/2020,9899,7.54,109
1,2/28/2020,16634,12.68,144
1,2/29/2020,6899,5.26,43
1,3/1/2020,7285,5.55,170
1,3/2/2020,1141,0.87,58
1,3/3/2020,13305,10.14,123
1,3/4/2020,7442,5.67,101
1,3/5/2020,7648,5.83,135
1,3/6/2020,15371,11.72,170
1,3/7/2020,17957,13.69,83
1,3/8/2020,14505,11.06,174
1,3/9/2020,9814,7.48,140
1,3/10/2020,5161,3.93,98
1,3/11/2020,13623,10.38,43
1,3/12/2020,6469,4.93,98
1,3/13/2020,12092,9.22,107
